"mun_name","mun_lat","mun_lon"
"moena","46.3769434","11.6592663"
"giovo","46.18582405","11.146814337407317"
"pomarolo","45.928099","11.04308"
"cembra lisignago","46.180668","11.2007761"
"castello-molina di fiemme","46.2560555","11.4044389"
"pozza di fassa","46.4302623","11.6867947"
"grigno","46.0170354","11.6359415"
"dimaro folgarida","46.3021925","10.8869078"
"malè","46.0913624","11.2804729"
"nogaredo","45.9120887","11.0230464"
"tenno","45.918797","10.832775"
"telve","46.0713276","11.4795917"
"borgo chiese","45.8923623","10.5619745"
"canazei","46.4768809","11.7710748"
"calliano","45.9338514","11.0937583"
"vermiglio","46.296905","10.691365"
"peio","46.3628864","10.6732435"
"porte di rendena","46.0732373","10.6730978"
"zambana","46.1514234","11.0969815"
"ziano di fiemme","46.2865173","11.5659762"
"altavalle","46.2166529","11.2529504"
"roverè della luna","46.2499881","11.1693479"
"mezzano","46.154712","11.807993"
"san lorenzo dorsino","46.1121294","10.9000784"
"bleggio superiore","46.0069424","10.7896444"
"canal san bovo","46.154846","11.7329554"
"campodenno","46.2578266","11.0331998"
"bedollo","46.1676984","11.3015887"
"albiano","46.144906","11.193479"
"pieve di bono-prezzo","45.9451999","10.673201"
"segonzano","46.1926368","11.2818727"
"trambileno","45.8348451","11.1392114"
"scurelle","46.0644655","11.5059309"
"tre ville","46.0743238","10.7710996"
"contà","46.295114","11.0189134"
"fondo","46.4388526","11.1373313"
"romeno","46.3939973","11.1202732"
"nave san rocco","46.1663167","11.1099976"
"nomi","45.928599","11.071881"
"vallarsa","45.8033548","11.1051097"
"rabbi","46.4009006","10.8249483"
"calceranica al lago","46.004241","11.242883"
"fornace","46.1181956","11.2065014"
"ton","46.2591565","11.1016547"
"denno","46.275008","11.049074"
"spormaggiore","46.2177519","11.0482682"
"spiazzo","46.103601","10.73937"
"revò","46.391811","11.059672"
"vigo di fassa","46.4204045","11.6726135"
"castello tesino","46.0641754","11.6321708"
"valdaone","46.0249131","10.5251304"
"imer","46.1510601","11.7963031"
"stenico","46.052168","10.8540886"
"molveno","46.1421057","10.9637773"
"sant'orsola terme","46.1081377","11.3027058"
"lavarone","45.9445551","11.2880019"
"caldes","46.365389","10.9425799"
"fiavè","46.0045798","10.8420518"
"carano","46.2917611","11.4396907"
"andalo","46.1661363","11.003402"
"novaledo","46.0228177","11.3664341"
"cavareno","46.408412","11.138073"
"castelnuovo","46.0528587","11.4932817"
"commezzadura","46.31299","10.8328315"
"tenna","46.015703","11.264283"
"ronzo-chienis","45.889597","10.950079"
"carisolo","46.1687756","10.7591591"
"sanzeno","46.3792333","11.0715113"
"fai della paganella","46.1793313","11.0689304"
"mezzana","46.3173162","10.8010074"
"lona-lases","46.1498177","11.2191675"
"ossana","46.3064533","10.7377007"
"livo","46.404711","11.019271"
"varena","46.3035575","11.4559989"
"sover","46.221709","11.315681"
"panchià","46.2856525","11.5425874"
"rumo","46.4610571","10.9882457"
"ospedaletto","46.0435692","11.5529585"
"sarnonico","46.4187281","11.1407924"
"pellizzano","46.309824","10.7604512"
"brez","46.4309755","11.1082429"
"giustino","46.1484401","10.7694794"
"campitello di fassa","46.4761678","11.7415253"
"soraga","46.3946069","11.6661676"
"torcegno","46.074307","11.449787"
"sporminore","46.236807","11.030274"
"borgo lares","46.004610150000005","10.727319547324065"
"cimone","45.97985","11.0630167"
"terragnolo","45.8652491","11.1774221"
"cloz","46.418912","11.086872"
"croviana","46.3447786","10.9034227"
"caderzone terme","46.130202","10.75747"
"bondone","45.8062305","10.5515367"
"daiano","46.3009636","11.4474653"
"pieve tesino","46.0693085","11.608091"
"terzolas","46.3616048","10.9260882"
"faedo","46.1922976","11.1618628"
"romallo","46.397211","11.066172"
"castelfondo","46.455713","11.116772"
"telve di sopra","46.071352","11.4716722"
"capriana","46.2619126","11.3385837"
"drena","45.969299","10.944477"
"strembo","46.119912","10.7514518"
"samone","46.081607","11.522588"
"mazzin","46.4688053","11.7003753"
"cavedago","46.1846982","11.0314163"
"carzano","46.0703249","11.4933434"
"amblar-don","46.3850244","11.1721592"
"valfloriana","46.2468833","11.3486732"
"fierozzo","46.1080873","11.3463101"
"malosco","46.4368189","11.1433969"
"ronchi valsugana","46.068406","11.435186"
"ronzone","46.423073","11.1488994"
"dambel","46.404712","11.093072"
"bieno","46.0806791","11.5540415"
"ruffrè-mendola","46.42463","11.1941"
"pelugo","46.0885","10.72387"
"garniga terme","46.0026491","11.0870545"
"bocenago","46.1191034","10.7588619"
"cinte tesino","46.056768","11.6148685"
"frassilongo","46.0808537","11.3195194"
"cagnò","46.394311","11.041171"
"sfruz","46.3371552","11.1157568"
"cis","46.399187","11.0029605"
"luserna","45.9216649","11.3242901"
"bresimo","46.4118147","10.9708987"
"cavizzana","46.3675013","10.957923"
"castel condino","45.914395","10.60277"
"sagron mis","46.1913955","11.9335607"
"palù del fersina","46.130736600000006","11.36648822301236"
"vignola-falesina","46.0552202","11.2816366"
"massimeno","46.1417556","10.773134"
